Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,age_group,amount_per_month,plane,penalty,score
42,1,2,1,3,3,409,12,radio/TV,3,34.083333333333336,1,75.04419746647812,799
31,2,1,3,1,2,1928,18,furniture/equipment,2,107.11111111111111,1,75.0,800
54,2,2,2,1,-1,1597,24,education,3,66.54166666666667,2,270.1093015632145,557
34,2,2,3,1,1,6999,48,radio/TV,2,145.8125,1,90.0,780
43,2,2,3,2,1,1203,6,car,3,200.5,1,77.2391514660742,797
26,2,2,3,-1,-1,2069,10,furniture/equipment,2,206.9,4,787.5093167701897,481
23,1,2,1,1,1,2406,30,furniture/equipment,1,80.2,1,135.06069097021447,689
57,1,1,2,1,-1,2748,12,education,4,229.0,2,2575.013678430807,401
27,2,0,3,3,3,709,6,car,2,118.16666666666667,1,15.0,880
28,1,3,3,1,-1,3349,36,furniture/equipment,2,93.02777777777777,2,240.0,568
32,2,3,2,1,-1,4686,36,car,2,130.16666666666666,2,240.0,568
55,2,2,2,3,-1,1555,12,repairs,4,129.58333333333334,2,2437.3624835878263,402
35,2,2,3,4,2,1410,14,business,2,100.71428571428571,1,30.0,860
31,2,2,3,1,1,4817,24,car,2,200.70833333333334,1,90.0,780
27,2,2,3,1,2,1391,9,business,2,154.55555555555554,1,75.0,800
32,2,2,3,1,-1,701,12,education,2,58.416666666666664,2,240.0,568
29,2,2,1,1,1,11816,45,business,2,262.5777777777778,1,1002.0439958592141,465
27,1,2,3,1,1,3123,24,car,2,130.125,1,105.0,710
28,2,1,1,1,2,6260,18,car,2,347.77777777777777,1,2265.0439958592137,403
42,2,2,2,1,1,5493,36,car,3,152.58333333333334,1,105.14649469102025,709
58,1,1,3,1,1,1755,24,vacation/others,4,73.125,1,2065.2068867022313,404
33,2,2,3,1,-1,1851,24,radio/TV,2,77.125,2,240.0,568
53,2,2,3,4,-1,2835,24,furniture/equipment,3,118.125,2,150.1751256981116,679
49,2,1,3,1,-1,2096,12,education,3,174.66666666666666,2,240.51516713570916,568
21,2,1,1,1,1,1987,24,radio/TV,1,82.79166666666667,1,120.06199103069036,699
26,2,2,1,1,-1,3518,6,car,2,586.3333333333334,2,11776.754658385096,334
33,2,2,3,2,-1,1474,24,car,2,61.416666666666664,2,210.0,580
38,2,3,3,1,-1,7814,24,car,2,325.5833333333333,2,3864.254658385094,391
34,2,2,2,-1,-1,6527,60,car,2,108.78333333333333,4,660.0,490
40,1,2,3,-1,-1,894,10,education,3,89.4,4,660.2622904255833,490
36,2,2,3,1,-1,4165,18,business,2,231.38888888888889,2,1068.4213250517612,460
35,2,2,2,1,-1,1471,15,radio/TV,2,98.06666666666666,2,270.0,557
40,2,3,3,-1,1,1977,36,education,3,54.916666666666664,3,315.15114887505575,540
23,1,2,1,1,-1,7127,36,furniture/equipment,1,197.97222222222223,2,332.5661242158877,515
23,1,2,3,1,-1,2288,21,furniture/equipment,1,108.95238095238095,2,270.15818596519534,557
49,2,2,3,-1,-1,2331,12,radio/TV,3,194.25,4,603.1410257964802,495
34,2,3,3,1,-1,6614,36,car,2,183.72222222222223,2,210.0,580
25,1,3,3,1,1,8065,36,education,2,224.02777777777777,1,393.7939958592139,510
35,2,1,3,3,2,1941,18,business,2,107.83333333333333,1,45.0,840
40,1,2,3,4,-1,7678,36,furniture/equipment,3,213.27777777777777,2,751.7500977283544,484
31,1,2,1,-1,-1,2901,10,car,2,290.1,4,5959.509316770191,376
20,1,2,3,1,2,1967,24,radio/TV,1,81.95833333333333,1,90.06156697121654,719
23,2,1,3,1,2,1246,24,car,1,51.916666666666664,1,75.04938765097407,799
45,2,2,2,-1,-1,1300,15,car,3,86.66666666666667,4,660.256168729162,490
47,2,3,3,1,2,1209,6,car,3,201.5,1,63.15140413792704,815
29,1,2,3,1,1,3499,12,car,2,291.5833333333333,1,1422.127329192547,434
36,2,2,1,1,1,2799,9,car,2,311.0,1,1728.3773291925472,407
28,2,2,3,1,-1,3595,36,radio/TV,2,99.86111111111111,2,240.0,568
35,1,2,3,-1,1,1381,24,car,2,57.541666666666664,3,405.0,509
30,1,3,3,1,2,4795,36,radio/TV,2,133.19444444444446,1,75.0,800
34,2,1,3,2,-1,1569,15,radio/TV,2,104.6,2,210.0,580
39,2,2,2,-1,3,1271,15,radio/TV,2,84.73333333333333,3,315.0,540
22,2,1,1,1,2,276,9,car,1,30.666666666666668,1,105.04332514798207,709
49,2,1,3,-1,1,1262,12,furniture/equipment,3,105.16666666666667,3,360.22816993461095,513
26,2,2,3,1,1,4370,42,radio/TV,2,104.04761904761905,1,90.0,780
26,2,2,3,-1,-1,5248,21,car,2,249.9047619047619,4,3367.795031055903,395
60,2,2,3,1,1,2246,12,furniture/equipment,4,187.16666666666666,1,342.7223455481488,514
23,2,2,1,1,3,1297,12,radio/TV,1,108.08333333333333,1,90.07837471828012,719
25,2,2,3,-1,-1,3105,24,radio/TV,2,129.375,4,600.0,495
28,2,2,3,4,3,939,12,car,2,78.25,1,15.0,880
37,1,2,1,4,-1,1402,12,furniture/equipment,2,116.83333333333333,2,240.0,568
37,2,2,2,-1,-1,2279,12,radio/TV,2,189.91666666666666,4,660.0,490
35,2,2,3,2,-1,2141,12,radio/TV,2,178.41666666666666,2,210.0,580
39,2,1,3,-1,-1,9436,54,car,2,174.74074074074073,4,600.0,495
33,2,2,1,1,1,950,15,car,2,63.333333333333336,1,120.0,700
59,1,2,1,1,2,6416,48,business,4,133.66666666666666,1,1172.478317031487,452
28,2,3,3,1,2,4249,30,car,2,141.63333333333333,1,60.0,820
36,2,2,3,1,1,1721,15,car,2,114.73333333333333,1,90.0,780
25,2,0,3,1,1,2473,18,furniture/equipment,2,137.38888888888889,1,75.0,800
24,2,2,3,2,2,6560,48,car,1,136.66666666666666,1,60.11175364793921,819
43,2,2,3,-1,2,2899,18,car,3,161.05555555555554,3,315.5266220245446,516
23,1,3,3,1,3,1961,18,car,1,108.94444444444444,1,60.079086363547205,819
26,2,2,3,1,1,3414,21,education,2,162.57142857142858,1,90.0,780
42,2,3,2,1,1,7763,48,car,3,161.72916666666666,1,90.1783522119289,719
27,2,1,3,2,-1,4139,24,business,2,172.45833333333334,2,210.0,580
26,1,2,3,1,-1,2404,18,radio/TV,2,133.55555555555554,2,270.0,557
26,1,3,1,1,-1,4530,30,radio/TV,2,151.0,2,300.0,545
32,2,2,2,3,2,1136,9,education,2,126.22222222222223,1,60.0,820
31,2,2,3,2,2,6148,20,car,2,307.4,1,1614.377329192547,408
41,1,3,1,1,-1,3868,24,car,3,161.16666666666666,2,300.3519966273602,545
37,1,2,3,3,-1,1287,24,car,2,53.625,2,210.0,580
31,1,2,3,1,-1,9566,36,radio/TV,2,265.72222222222223,2,2128.4213250517614,404
36,2,2,3,-1,-1,6304,36,business,2,175.11111111111111,4,600.0,495
35,2,2,2,1,1,3386,12,car,2,282.1666666666667,1,1280.8773291925477,444
26,1,2,3,1,-1,2764,33,business,2,83.75757575757575,2,270.0,557
27,2,2,3,1,-1,3850,18,car,2,213.88888888888889,2,543.4213250517612,499
54,2,2,3,1,1,1409,12,car,3,117.41666666666667,1,90.08684468302867,719
48,2,3,3,-1,2,12204,48,business,3,254.25,3,4813.209695281763,384
23,1,2,1,2,2,1553,24,radio/TV,1,64.70833333333333,1,105.0539303314352,709
32,2,2,1,2,2,11760,39,education,2,301.53846153846155,1,1556.4542522694705,424
38,1,3,2,1,2,12976,18,car,2,720.8888888888889,1,7846.710662525881,362
21,2,2,1,1,1,902,12,education,1,75.16666666666667,1,120.05831578330245,699
29,2,2,3,2,2,2896,24,radio/TV,2,120.66666666666667,1,60.0,820
26,1,0,1,1,2,1778,15,car,2,118.53333333333333,1,105.0,710
29,2,2,3,1,1,5179,36,furniture/equipment,2,143.86111111111111,1,90.0,780
32,2,2,3,1,2,6078,12,car,2,506.5,1,4615.877329192547,386
48,2,1,1,1,1,2241,10,car,3,224.1,1,730.1234362202713,485
24,1,1,1,2,-1,1568,18,business,1,87.11111111111111,2,300.12857229939357,545
42,1,2,3,1,2,3804,36,radio/TV,3,105.66666666666667,1,90.0764442410209,719
26,2,2,3,1,2,907,8,business,2,113.375,1,75.0,800
26,1,2,3,1,3,3749,24,furniture/equipment,2,156.20833333333334,1,75.0,800
42,2,2,2,-1,-1,10477,36,car,3,291.02777777777777,4,11130.695783566931,338
46,2,2,3,1,1,697,12,car,3,58.083333333333336,1,90.05147802775667,719
22,2,1,3,1,2,454,6,repairs,1,75.66666666666667,1,75.0585433800535,799
22,1,2,1,1,-1,433,18,radio/TV,1,24.055555555555557,2,330.0834628490293,515
29,2,2,3,1,-1,2743,28,radio/TV,2,97.96428571428571,2,240.0,568
24,1,2,3,1,1,4272,20,furniture/equipment,1,213.6,1,400.5160383806877,510
24,2,2,3,1,1,2145,36,business,1,59.583333333333336,1,90.0520135321949,719
30,2,3,3,1,1,1823,24,radio/TV,2,75.95833333333333,1,75.0,800
28,2,3,3,1,2,5234,30,car,2,174.46666666666667,1,60.0,820
37,2,1,3,1,3,3949,10,car,2,394.9,1,2926.877329192547,398
32,2,2,3,1,-1,1552,24,radio/TV,2,64.66666666666667,2,240.0,568
27,2,2,1,-1,-1,7980,36,business,2,221.66666666666666,4,1793.509316770189,406
44,2,1,3,-1,1,4716,6,car,3,786.0,3,16435.34008902744,300
43,2,2,3,1,-1,2515,18,furniture/equipment,3,139.72222222222223,2,240.23416818082893,568
34,2,2,3,1,1,3965,42,radio/TV,2,94.4047619047619,1,90.0,780
41,2,2,3,1,2,6361,18,furniture/equipment,3,353.3888888888889,1,4563.471453475733,386
56,2,2,2,1,3,4796,42,car,4,114.19047619047619,1,1419.4352042180117,434
44,2,2,3,4,-1,2375,24,business,3,98.95833333333333,2,150.14310396796304,679
23,1,0,1,4,2,3758,24,radio/TV,1,156.58333333333334,1,60.158909050449125,819
28,2,2,1,1,1,6199,12,radio/TV,2,516.5833333333334,1,4812.127329192548,384
50,1,1,3,1,3,1047,6,education,3,174.5,1,75.25611795808439,799
30,2,3,3,1,2,4455,36,business,2,123.75,1,60.0,820
30,2,2,3,1,2,1056,18,car,2,58.666666666666664,1,75.0,800
43,1,1,3,1,-1,1459,15,radio/TV,3,97.26666666666667,2,270.1408311522853,557
25,1,2,3,1,-1,2238,18,radio/TV,2,124.33333333333333,2,270.0,557
32,2,2,3,2,-1,2848,10,car,2,284.8,2,2640.754658385095,400
28,2,2,2,1,-1,3343,15,furniture/equipment,2,222.86666666666667,2,842.7546583850949,477
26,1,1,1,1,1,3599,21,furniture/equipment,2,171.38095238095238,1,135.0,690
32,2,2,3,-1,-1,2662,18,car,2,147.88888888888889,4,600.0,495
47,2,2,2,-1,1,8335,36,car,3,231.52777777777777,3,2903.5744373011253,398
20,2,2,1,1,2,585,12,radio/TV,1,48.75,1,105.04837883886609,709
38,2,2,3,2,2,1216,24,radio/TV,2,50.666666666666664,1,60.0,820
28,2,2,3,1,-1,1413,24,radio/TV,2,58.875,2,240.0,568
28,2,1,3,1,1,1797,13,business,2,138.23076923076923,1,90.0,780
27,2,2,3,1,2,2820,36,car,2,78.33333333333333,1,75.0,800
25,2,2,3,1,3,5152,24,radio/TV,2,214.66666666666666,1,223.3773291925472,574
51,2,2,3,1,-1,1595,6,radio/TV,3,265.8333333333333,2,3963.7510085476288,391
57,1,2,1,3,1,3622,30,furniture/equipment,4,120.73333333333333,1,1351.3450962629738,439
27,1,2,3,2,-1,1237,6,radio/TV,2,206.16666666666666,2,311.7546583850944,541
30,1,2,3,1,-1,8133,36,car,2,225.91666666666666,2,934.2546583850944,470
23,2,1,1,-1,1,1936,18,radio/TV,1,107.55555555555556,3,450.2338345320919,506
46,2,3,3,-1,-1,7629,48,business,3,158.9375,4,540.669001933331,499
46,1,1,3,1,-1,3594,15,car,3,239.6,2,2419.9279354527775,402
35,1,2,2,1,1,1198,6,education,2,199.66666666666666,1,120.0,700
29,2,3,2,1,1,6579,24,car,2,274.125,1,1145.2523291925472,454
57,2,2,2,1,2,2225,36,car,4,61.80555555555556,1,2219.9619431218666,403
33,2,2,3,-1,-1,3074,9,radio/TV,2,341.55555555555554,4,8866.842650103521,355
46,1,2,1,1,1,1845,15,furniture/equipment,3,123.0,1,135.09284713171462,689
33,2,3,3,1,2,4439,18,business,2,246.61111111111111,1,702.5439958592141,487
46,2,2,3,1,-1,1829,15,radio/TV,3,121.93333333333334,2,240.18327423237494,568
24,2,2,3,4,-1,2569,39,car,1,65.87179487179488,2,150.1087706387372,679
28,2,2,3,1,-1,2169,18,business,2,120.5,2,240.0,568
33,2,1,3,1,1,2579,12,car,2,214.91666666666666,1,257.1273291925472,562
33,1,2,3,-1,-1,1927,24,education,2,80.29166666666667,4,660.0,490
40,2,2,3,4,-1,2675,22,radio/TV,3,121.5909090909091,2,150.18251066605671,679
45,2,2,3,1,-1,10875,36,car,3,302.0833333333333,2,6138.661893747173,375
48,2,2,3,1,1,1082,12,car,3,90.16666666666667,1,90.06601509558585,719
63,2,2,2,1,3,781,10,car,4,78.1,1,1960.600063095014,405
54,1,2,1,1,2,7432,36,car,3,206.44444444444446,1,202.80521198285552,582
23,1,2,1,-1,1,8471,18,education,1,470.6111111111111,3,16435.34008902744,300
24,1,1,3,1,1,626,12,radio/TV,1,52.166666666666664,1,105.04946908882658,709
36,2,3,1,-1,2,7057,20,car,2,352.85,3,7068.381987577643,368
28,2,3,1,1,2,9398,36,car,2,261.05555555555554,1,949.2106625258805,469
66,2,1,3,4,2,766,12,radio/TV,4,63.833333333333336,1,2129.55139946655,404
41,2,1,1,2,-1,1469,24,car,3,61.208333333333336,2,270.1052127554965,557
22,2,2,3,3,2,1007,12,car,1,83.91666666666667,1,45.06257286411042,839
22,1,2,1,1,1,3650,18,furniture/equipment,1,202.77777777777777,1,141.2261123695915,685
33,2,2,3,1,-1,2058,24,repairs,2,85.75,2,240.0,568
47,2,1,3,1,-1,2538,24,car,3,105.75,2,240.15301844954394,568
35,2,1,2,-1,-1,9055,36,education,2,251.52777777777777,4,3525.175983436856,394
32,2,1,3,1,-1,1231,10,car,2,123.1,2,240.0,568
38,2,2,3,1,-1,804,12,radio/TV,2,67.0,2,240.0,568
39,2,3,3,1,2,11938,24,vacation/others,2,497.4166666666667,1,4464.627329192547,387
42,2,2,3,4,-1,522,12,radio/TV,3,43.5,2,150.09358832352376,679
70,2,3,2,1,2,7308,10,car,4,730.8,1,16435.34008902744,300
26,2,1,3,1,2,625,12,radio/TV,2,52.083333333333336,1,75.0,800
45,1,1,3,1,3,3049,18,furniture/equipment,3,169.38888888888889,1,75.21806620531524,799
40,2,3,3,1,2,7374,18,furniture/equipment,3,409.6666666666667,1,6236.791085066345,374
26,2,1,3,-1,-1,783,6,car,2,130.5,4,600.0,495
39,2,2,3,1,-1,1473,18,radio/TV,2,81.83333333333333,2,240.0,568
47,2,1,3,4,-1,1316,15,radio/TV,3,87.73333333333333,2,150.12926168699764,679
36,2,3,2,1,1,1940,18,radio/TV,2,107.77777777777777,1,90.0,780
23,1,2,1,1,1,1442,24,car,1,60.083333333333336,1,135.05219451809424,689
33,2,2,3,1,3,6289,42,business,2,149.73809523809524,1,60.0,820
34,2,2,3,3,-1,2578,24,radio/TV,2,107.41666666666667,2,180.0,660
26,2,2,3,4,2,1158,12,radio/TV,2,96.5,1,30.0,860
27,2,3,3,1,-1,6314,24,vacation/others,2,263.0833333333333,2,1989.254658385094,405
22,1,2,1,1,1,1366,9,radio/TV,1,151.77777777777777,1,135.14422557028243,689
24,2,2,3,1,1,9271,36,car,1,257.52777777777777,1,1702.7275069180105,407
40,1,2,1,1,2,3001,18,furniture/equipment,3,166.72222222222223,1,120.20237797667811,699
53,1,3,3,-1,-1,7485,30,car,3,249.5,4,6087.674649108026,375
61,2,1,3,3,-1,3059,12,radio/TV,4,254.91666666666666,2,4785.109494925801,385
25,2,1,3,1,2,4746,45,radio/TV,2,105.46666666666667,1,75.0,800
26,2,2,3,1,3,1330,12,car,2,110.83333333333333,1,60.0,820
31,2,2,3,2,2,1449,6,business,2,241.5,1,625.8773291925473,493
21,2,2,1,1,2,2779,18,car,1,154.38888888888889,1,105.15184947349849,709
54,1,3,1,1,-1,3568,15,radio/TV,3,237.86666666666667,2,2345.9492103879934,402
25,2,1,1,1,-1,2210,10,furniture/equipment,2,221.0,2,816.7546583850947,479
33,1,2,3,-1,2,1042,18,car,2,57.888888888888886,3,360.0,513
43,2,1,3,1,-1,1533,18,furniture/equipment,3,85.16666666666667,2,240.12646458019418,568
37,1,2,3,1,1,609,6,car,2,101.5,1,105.0,710
28,1,2,3,1,2,4221,30,business,2,140.7,1,90.0,780
45,1,2,3,1,2,2329,7,radio/TV,3,332.7142857142857,1,3958.241395780311,391
28,2,2,3,1,1,5371,36,furniture/equipment,2,149.19444444444446,1,90.0,780
27,2,3,3,1,2,14027,60,car,2,233.78333333333333,1,510.12732919254734,502
34,2,2,3,-1,2,2825,24,business,2,117.70833333333333,3,315.0,540
32,2,2,3,1,-1,2697,9,radio/TV,2,299.6666666666667,2,3116.7546583850954,397
30,1,2,3,1,1,1620,12,furniture/equipment,2,135.0,1,105.0,710
42,1,2,1,-1,2,1965,24,car,3,81.875,3,450.1845746524158,506
57,2,1,1,-1,-1,1264,12,business,4,105.33333333333333,4,6628.928427589842,371
25,2,2,3,1,2,14421,48,business,2,300.4375,1,1524.9398291925472,426
37,2,3,3,-1,2,4712,24,business,2,196.33333333333334,3,270.0,557
42,2,3,3,1,-1,2292,12,business,3,191.0,2,211.17238933610778,579
45,2,1,3,4,-1,1750,6,radio/TV,3,291.6666666666667,2,5423.679975589869,380
52,2,2,3,1,-1,717,12,radio/TV,3,59.75,2,240.104147442415,568
35,2,2,3,-1,-1,976,12,radio/TV,2,81.33333333333333,4,600.0,495
61,2,1,3,1,-1,1255,12,car,4,104.58333333333333,2,3216.954999622779,396
38,2,2,2,-1,2,6681,48,business,2,139.1875,3,360.0,513
55,1,2,3,1,1,1603,24,radio/TV,4,66.79166666666667,1,2160.1856574540425,404
23,1,2,1,1,1,2511,15,car,1,167.4,1,135.20614750379949,689
55,1,3,2,1,1,2578,12,furniture/equipment,4,214.83333333333334,1,608.0140275215948,494
29,2,2,3,-1,-1,1169,18,radio/TV,2,64.94444444444444,4,600.0,495
26,2,2,3,2,1,1382,24,business,2,57.583333333333336,1,75.0,800
27,2,3,2,-1,2,9157,60,radio/TV,2,152.61666666666667,3,315.0,540
43,2,2,1,1,1,4843,12,car,3,403.5833333333333,1,6114.29219409285,375
30,2,2,3,2,2,3566,48,business,2,74.29166666666667,1,60.0,820
35,1,3,3,1,-1,1393,11,car,2,126.63636363636364,2,240.0,568
48,2,2,3,1,1,1024,24,radio/TV,3,42.666666666666664,1,90.04655212326256,719
21,1,2,1,1,1,1049,18,furniture/equipment,1,58.27777777777778,1,135.05154682213487,689
54,2,2,3,-1,-1,717,24,car,3,29.875,4,600.1725116663886,495
38,2,2,3,-1,2,754,12,education,2,62.833333333333336,3,315.0,540
50,2,2,3,1,-1,2241,21,furniture/equipment,3,106.71428571428571,2,240.15453859031197,568
27,1,1,3,1,1,3643,15,furniture/equipment,2,242.86666666666667,1,691.3773291925474,488
30,2,2,3,1,2,7966,26,car,2,306.38461538461536,1,1614.1465599617777,420
37,2,1,3,1,2,1154,9,radio/TV,2,128.22222222222223,1,75.0,800
60,1,3,2,2,2,14782,60,vacation/others,4,246.36666666666667,1,1993.0399330177258,405
36,2,2,3,-1,-1,3079,36,car,2,85.52777777777777,4,600.0,495
33,2,2,1,1,1,2235,20,car,2,111.75,1,120.0,700
43,2,2,3,-1,-1,2197,24,car,3,91.54166666666667,4,600.2672953321849,495
43,2,2,3,1,-1,1935,12,furniture/equipment,3,161.25,2,240.35268622313333,568
51,2,2,3,-1,-1,3342,36,radio/TV,3,92.83333333333333,4,600.2704072649713,495
23,1,2,1,1,3,392,15,education,1,26.133333333333333,1,105.04221952698572,709
30,2,2,2,2,2,3069,24,furniture/equipment,2,127.875,1,75.0,800
30,2,2,3,1,1,2121,12,car,2,176.75,1,90.0,780
51,2,2,3,1,2,4771,11,radio/TV,3,433.72727272727275,1,6973.605455490737,369
25,2,1,3,1,2,685,12,car,2,57.083333333333336,1,75.0,800
