Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,score
42,female,2,rent,rich,rich,409,12,radio/TV,799
31,male,1,own,little,moderate,1928,18,furniture/equipment,800
54,male,2,free,little,None,1597,24,education,557
34,male,2,own,little,little,6999,48,radio/TV,780
43,male,2,own,moderate,little,1203,6,car,797
26,male,2,own,None,None,2069,10,furniture/equipment,481
23,female,2,rent,little,little,2406,30,furniture/equipment,689
57,female,1,free,little,None,2748,12,education,401
27,male,0,own,rich,rich,709,6,car,880
28,female,3,own,little,None,3349,36,furniture/equipment,568
32,male,3,free,little,None,4686,36,car,568
55,male,2,free,rich,None,1555,12,repairs,402
35,male,2,own,quite rich,moderate,1410,14,business,860
31,male,2,own,little,little,4817,24,car,780
27,male,2,own,little,moderate,1391,9,business,800
32,male,2,own,little,None,701,12,education,568
29,male,2,rent,little,little,11816,45,business,465
27,female,2,own,little,little,3123,24,car,710
28,male,1,rent,little,moderate,6260,18,car,403
42,male,2,free,little,little,5493,36,car,709
58,female,1,own,little,little,1755,24,vacation/others,404
33,male,2,own,little,None,1851,24,radio/TV,568
53,male,2,own,quite rich,None,2835,24,furniture/equipment,679
49,male,1,own,little,None,2096,12,education,568
21,male,1,rent,little,little,1987,24,radio/TV,699
26,male,2,rent,little,None,3518,6,car,334
33,male,2,own,moderate,None,1474,24,car,580
38,male,3,own,little,None,7814,24,car,391
34,male,2,free,None,None,6527,60,car,490
40,female,2,own,None,None,894,10,education,490
36,male,2,own,little,None,4165,18,business,460
35,male,2,free,little,None,1471,15,radio/TV,557
40,male,3,own,None,little,1977,36,education,540
23,female,2,rent,little,None,7127,36,furniture/equipment,515
23,female,2,own,little,None,2288,21,furniture/equipment,557
49,male,2,own,None,None,2331,12,radio/TV,495
34,male,3,own,little,None,6614,36,car,580
25,female,3,own,little,little,8065,36,education,510
35,male,1,own,rich,moderate,1941,18,business,840
40,female,2,own,quite rich,None,7678,36,furniture/equipment,484
31,female,2,rent,None,None,2901,10,car,376
20,female,2,own,little,moderate,1967,24,radio/TV,719
23,male,1,own,little,moderate,1246,24,car,799
45,male,2,free,None,None,1300,15,car,490
47,male,3,own,little,moderate,1209,6,car,815
29,female,2,own,little,little,3499,12,car,434
36,male,2,rent,little,little,2799,9,car,407
28,male,2,own,little,None,3595,36,radio/TV,568
35,female,2,own,None,little,1381,24,car,509
30,female,3,own,little,moderate,4795,36,radio/TV,800
34,male,1,own,moderate,None,1569,15,radio/TV,580
39,male,2,free,None,rich,1271,15,radio/TV,540
22,male,1,rent,little,moderate,276,9,car,709
49,male,1,own,None,little,1262,12,furniture/equipment,513
26,male,2,own,little,little,4370,42,radio/TV,780
26,male,2,own,None,None,5248,21,car,395
60,male,2,own,little,little,2246,12,furniture/equipment,514
23,male,2,rent,little,rich,1297,12,radio/TV,719
25,male,2,own,None,None,3105,24,radio/TV,495
28,male,2,own,quite rich,rich,939,12,car,880
37,female,2,rent,quite rich,None,1402,12,furniture/equipment,568
37,male,2,free,None,None,2279,12,radio/TV,490
35,male,2,own,moderate,None,2141,12,radio/TV,580
39,male,1,own,None,None,9436,54,car,495
33,male,2,rent,little,little,950,15,car,700
59,female,2,rent,little,moderate,6416,48,business,452
28,male,3,own,little,moderate,4249,30,car,820
36,male,2,own,little,little,1721,15,car,780
25,male,0,own,little,little,2473,18,furniture/equipment,800
24,male,2,own,moderate,moderate,6560,48,car,819
43,male,2,own,None,moderate,2899,18,car,516
23,female,3,own,little,rich,1961,18,car,819
26,male,2,own,little,little,3414,21,education,780
42,male,3,free,little,little,7763,48,car,719
27,male,1,own,moderate,None,4139,24,business,580
26,female,2,own,little,None,2404,18,radio/TV,557
26,female,3,rent,little,None,4530,30,radio/TV,545
32,male,2,free,rich,moderate,1136,9,education,820
31,male,2,own,moderate,moderate,6148,20,car,408
41,female,3,rent,little,None,3868,24,car,545
37,female,2,own,rich,None,1287,24,car,580
31,female,2,own,little,None,9566,36,radio/TV,404
36,male,2,own,None,None,6304,36,business,495
35,male,2,free,little,little,3386,12,car,444
26,female,2,own,little,None,2764,33,business,557
27,male,2,own,little,None,3850,18,car,499
54,male,2,own,little,little,1409,12,car,719
48,male,3,own,None,moderate,12204,48,business,384
23,female,2,rent,moderate,moderate,1553,24,radio/TV,709
32,male,2,rent,moderate,moderate,11760,39,education,424
38,female,3,free,little,moderate,12976,18,car,362
21,male,2,rent,little,little,902,12,education,699
29,male,2,own,moderate,moderate,2896,24,radio/TV,820
26,female,0,rent,little,moderate,1778,15,car,710
29,male,2,own,little,little,5179,36,furniture/equipment,780
32,male,2,own,little,moderate,6078,12,car,386
48,male,1,rent,little,little,2241,10,car,485
24,female,1,rent,moderate,None,1568,18,business,545
42,female,2,own,little,moderate,3804,36,radio/TV,719
26,male,2,own,little,moderate,907,8,business,800
26,female,2,own,little,rich,3749,24,furniture/equipment,800
42,male,2,free,None,None,10477,36,car,338
46,male,2,own,little,little,697,12,car,719
22,male,1,own,little,moderate,454,6,repairs,799
22,female,2,rent,little,None,433,18,radio/TV,515
29,male,2,own,little,None,2743,28,radio/TV,568
24,female,2,own,little,little,4272,20,furniture/equipment,510
24,male,2,own,little,little,2145,36,business,719
30,male,3,own,little,little,1823,24,radio/TV,800
28,male,3,own,little,moderate,5234,30,car,820
37,male,1,own,little,rich,3949,10,car,398
32,male,2,own,little,None,1552,24,radio/TV,568
27,male,2,rent,None,None,7980,36,business,406
44,male,1,own,None,little,4716,6,car,300
43,male,2,own,little,None,2515,18,furniture/equipment,568
34,male,2,own,little,little,3965,42,radio/TV,780
41,male,2,own,little,moderate,6361,18,furniture/equipment,386
56,male,2,free,little,rich,4796,42,car,434
44,male,2,own,quite rich,None,2375,24,business,679
23,female,0,rent,quite rich,moderate,3758,24,radio/TV,819
28,male,2,rent,little,little,6199,12,radio/TV,384
50,female,1,own,little,rich,1047,6,education,799
30,male,3,own,little,moderate,4455,36,business,820
30,male,2,own,little,moderate,1056,18,car,800
43,female,1,own,little,None,1459,15,radio/TV,557
25,female,2,own,little,None,2238,18,radio/TV,557
32,male,2,own,moderate,None,2848,10,car,400
28,male,2,free,little,None,3343,15,furniture/equipment,477
26,female,1,rent,little,little,3599,21,furniture/equipment,690
32,male,2,own,None,None,2662,18,car,495
47,male,2,free,None,little,8335,36,car,398
20,male,2,rent,little,moderate,585,12,radio/TV,709
38,male,2,own,moderate,moderate,1216,24,radio/TV,820
28,male,2,own,little,None,1413,24,radio/TV,568
28,male,1,own,little,little,1797,13,business,780
27,male,2,own,little,moderate,2820,36,car,800
25,male,2,own,little,rich,5152,24,radio/TV,574
51,male,2,own,little,None,1595,6,radio/TV,391
57,female,2,rent,rich,little,3622,30,furniture/equipment,439
27,female,2,own,moderate,None,1237,6,radio/TV,541
30,female,2,own,little,None,8133,36,car,470
23,male,1,rent,None,little,1936,18,radio/TV,506
46,male,3,own,None,None,7629,48,business,499
46,female,1,own,little,None,3594,15,car,402
35,female,2,free,little,little,1198,6,education,700
29,male,3,free,little,little,6579,24,car,454
57,male,2,free,little,moderate,2225,36,car,403
33,male,2,own,None,None,3074,9,radio/TV,355
46,female,2,rent,little,little,1845,15,furniture/equipment,689
33,male,3,own,little,moderate,4439,18,business,487
46,male,2,own,little,None,1829,15,radio/TV,568
24,male,2,own,quite rich,None,2569,39,car,679
28,male,2,own,little,None,2169,18,business,568
33,male,1,own,little,little,2579,12,car,562
33,female,2,own,None,None,1927,24,education,490
40,male,2,own,quite rich,None,2675,22,radio/TV,679
45,male,2,own,little,None,10875,36,car,375
48,male,2,own,little,little,1082,12,car,719
63,male,2,free,little,rich,781,10,car,405
54,female,2,rent,little,moderate,7432,36,car,582
23,female,2,rent,None,little,8471,18,education,300
24,female,1,own,little,little,626,12,radio/TV,709
36,male,3,rent,None,moderate,7057,20,car,368
28,male,3,rent,little,moderate,9398,36,car,469
66,male,1,own,quite rich,moderate,766,12,radio/TV,404
41,male,1,rent,moderate,None,1469,24,car,557
22,male,2,own,rich,moderate,1007,12,car,839
22,female,2,rent,little,little,3650,18,furniture/equipment,685
33,male,2,own,little,None,2058,24,repairs,568
47,male,1,own,little,None,2538,24,car,568
35,male,1,free,None,None,9055,36,education,394
32,male,1,own,little,None,1231,10,car,568
38,male,2,own,little,None,804,12,radio/TV,568
39,male,3,own,little,moderate,11938,24,vacation/others,387
42,male,2,own,quite rich,None,522,12,radio/TV,679
70,male,3,free,little,moderate,7308,10,car,300
26,male,1,own,little,moderate,625,12,radio/TV,800
45,female,1,own,little,rich,3049,18,furniture/equipment,799
40,male,3,own,little,moderate,7374,18,furniture/equipment,374
26,male,1,own,None,None,783,6,car,495
39,male,2,own,little,None,1473,18,radio/TV,568
47,male,1,own,quite rich,None,1316,15,radio/TV,679
36,male,3,free,little,little,1940,18,radio/TV,780
23,female,2,rent,little,little,1442,24,car,689
33,male,2,own,little,rich,6289,42,business,820
34,male,2,own,rich,None,2578,24,radio/TV,660
26,male,2,own,quite rich,moderate,1158,12,radio/TV,860
27,male,3,own,little,None,6314,24,vacation/others,405
22,female,2,rent,little,little,1366,9,radio/TV,689
24,male,2,own,little,little,9271,36,car,407
40,female,2,rent,little,moderate,3001,18,furniture/equipment,699
53,female,3,own,None,None,7485,30,car,375
61,male,1,own,rich,None,3059,12,radio/TV,385
25,male,1,own,little,moderate,4746,45,radio/TV,800
26,male,2,own,little,rich,1330,12,car,820
31,male,2,own,moderate,moderate,1449,6,business,493
21,male,2,rent,little,moderate,2779,18,car,709
54,female,3,rent,little,None,3568,15,radio/TV,402
25,male,1,rent,little,None,2210,10,furniture/equipment,479
33,female,2,own,None,moderate,1042,18,car,513
43,male,1,own,little,None,1533,18,furniture/equipment,568
37,female,2,own,little,little,609,6,car,710
28,female,2,own,little,moderate,4221,30,business,780
45,female,2,own,little,moderate,2329,7,radio/TV,391
28,male,2,own,little,little,5371,36,furniture/equipment,780
27,male,3,own,little,moderate,14027,60,car,502
34,male,2,own,None,moderate,2825,24,business,540
32,male,2,own,little,None,2697,9,radio/TV,397
30,female,2,own,little,little,1620,12,furniture/equipment,710
42,female,2,rent,None,moderate,1965,24,car,506
57,male,1,rent,None,None,1264,12,business,371
25,male,2,own,little,moderate,14421,48,business,426
37,male,3,own,None,moderate,4712,24,business,557
42,male,3,own,little,None,2292,12,business,579
45,male,1,own,quite rich,None,1750,6,radio/TV,380
52,male,2,own,little,None,717,12,radio/TV,568
35,male,2,own,None,None,976,12,radio/TV,495
61,male,1,own,little,None,1255,12,car,396
38,male,2,free,None,moderate,6681,48,business,513
55,female,2,own,little,little,1603,24,radio/TV,404
23,female,2,rent,little,little,2511,15,car,689
55,female,3,free,little,little,2578,12,furniture/equipment,494
29,male,2,own,None,None,1169,18,radio/TV,495
26,male,2,own,moderate,little,1382,24,business,800
27,male,3,free,None,moderate,9157,60,radio/TV,540
43,male,2,rent,little,little,4843,12,car,375
30,male,2,own,moderate,moderate,3566,48,business,820
35,female,3,own,little,None,1393,11,car,568
48,male,2,own,little,little,1024,24,radio/TV,719
21,female,2,rent,little,little,1049,18,furniture/equipment,689
54,male,2,own,None,None,717,24,car,495
38,male,2,own,None,moderate,754,12,education,540
50,male,2,own,little,None,2241,21,furniture/equipment,568
27,female,1,own,little,little,3643,15,furniture/equipment,488
30,male,2,own,little,moderate,7966,26,car,420
37,male,1,own,little,moderate,1154,9,radio/TV,800
60,female,3,free,moderate,moderate,14782,60,vacation/others,405
36,male,2,own,None,None,3079,36,car,495
33,male,2,rent,little,little,2235,20,car,700
43,male,2,own,None,None,2197,24,car,495
43,male,2,own,little,None,1935,12,furniture/equipment,568
51,male,2,own,None,None,3342,36,radio/TV,495
23,female,2,rent,little,rich,392,15,education,709
30,male,2,free,moderate,moderate,3069,24,furniture/equipment,800
30,male,2,own,little,little,2121,12,car,780
51,male,2,own,little,moderate,4771,11,radio/TV,369
25,male,1,own,little,moderate,685,12,car,800
22,male,2,own,moderate,moderate,1514,15,repairs,819
31,male,2,own,little,little,2746,36,furniture/equipment,780
34,male,1,free,moderate,moderate,3844,48,business,800
41,male,2,own,moderate,moderate,2503,30,business,819
24,female,2,own,little,little,3190,18,radio/TV,709
43,male,2,own,little,moderate,4057,24,furniture/equipment,799
59,female,2,own,None,None,5045,15,car,300
25,male,2,own,None,None,999,24,radio/TV,495
36,female,2,own,little,rich,2247,12,car,800
25,male,2,own,moderate,None,5511,24,furniture/equipment,466
25,female,2,own,little,moderate,1206,9,radio/TV,780
28,female,2,own,little,little,3660,24,radio/TV,710
25,female,2,rent,little,moderate,2969,12,furniture/equipment,482
34,male,2,own,rich,moderate,3496,30,furniture/equipment,840
38,male,2,own,None,None,3914,48,business,495
31,male,1,own,little,moderate,1410,12,education,800
50,male,2,own,little,little,5293,27,business,719
37,male,1,own,little,moderate,1922,12,furniture/equipment,800
47,male,2,own,little,rich,3017,30,radio/TV,819
28,female,3,own,moderate,rich,2923,21,car,840
40,male,3,rent,little,rich,1905,15,education,799
30,male,2,own,little,None,707,12,radio/TV,568
22,male,2,own,little,moderate,1331,12,radio/TV,799
31,male,2,own,little,None,1393,24,car,568
51,male,3,free,little,little,1164,8,vacation/others,719
31,male,2,own,None,rich,3148,24,radio/TV,557
31,male,2,own,little,moderate,1935,24,business,800
34,male,3,own,moderate,None,1591,21,furniture/equipment,660
38,male,3,free,little,little,10623,30,car,402
21,male,2,rent,moderate,moderate,3031,45,radio/TV,719
34,male,2,own,little,moderate,5800,36,car,800
30,male,3,own,little,moderate,5965,27,car,516
28,female,2,own,quite rich,None,1376,24,radio/TV,660
34,male,2,own,little,moderate,2415,7,radio/TV,403
25,female,2,own,little,little,1835,21,radio/TV,710
19,female,2,rent,little,None,1980,9,furniture/equipment,443
36,male,1,own,little,little,1374,6,furniture/equipment,505
32,male,2,own,little,little,1938,24,radio/TV,780
20,male,2,own,moderate,little,674,12,radio/TV,799
35,male,2,own,little,None,2346,24,car,568
32,male,1,own,little,moderate,1301,18,radio/TV,800
38,male,2,own,moderate,moderate,3512,24,car,820
27,female,2,own,little,None,1185,12,business,557
53,male,2,free,little,little,4870,24,car,705
52,male,2,own,quite rich,little,338,6,radio/TV,839
62,male,2,own,quite rich,None,1338,6,domestic appliances,406
24,male,2,own,little,rich,3016,12,radio/TV,429
27,male,2,own,little,little,3552,24,furniture/equipment,780
35,female,2,free,quite rich,None,5324,15,car,385
26,male,1,own,little,moderate,590,6,radio/TV,800
45,male,1,own,None,None,1287,10,car,495
35,male,2,own,quite rich,None,2397,24,radio/TV,680
35,female,1,own,little,little,10722,47,car,505
29,female,0,rent,little,little,1193,24,car,700
24,female,2,rent,little,little,652,12,furniture/equipment,689
35,male,3,own,little,None,2670,24,car,580
36,male,2,own,rich,moderate,1913,18,business,840
39,male,1,own,little,None,426,6,radio/TV,568
35,male,2,own,quite rich,little,1680,12,radio/TV,840
28,male,1,own,little,moderate,484,6,radio/TV,800
23,male,2,own,little,rich,3913,36,radio/TV,819
24,female,2,rent,little,little,1207,24,car,689
50,male,2,own,rich,None,3777,24,furniture/equipment,591
36,female,2,own,little,None,1028,18,car,557
39,male,1,rent,little,little,2122,12,car,700
28,male,2,own,little,little,1108,12,repairs,780
33,male,1,own,moderate,little,727,12,radio/TV,800
27,male,2,own,moderate,moderate,1995,12,car,820
36,male,2,free,None,None,700,6,radio/TV,490
42,male,3,own,moderate,moderate,8086,36,car,490
22,female,2,rent,little,little,3632,24,car,689
23,female,2,rent,little,little,1216,18,car,689
23,female,2,own,little,little,448,6,education,709
30,male,3,own,little,None,1820,18,car,580
24,male,1,rent,little,None,1768,12,furniture/equipment,545
22,male,2,own,quite rich,little,2483,24,furniture/equipment,839
34,male,3,own,little,rich,1337,9,radio/TV,840
26,male,2,own,little,None,5117,27,business,568
35,male,1,own,little,None,2684,24,radio/TV,568
27,male,1,own,little,None,2708,15,furniture/equipment,568
29,male,1,own,little,little,3590,12,furniture/equipment,426
38,male,1,own,little,None,1495,12,car,568
24,female,2,rent,None,little,1275,15,domestic appliances,503
26,female,2,own,little,None,3181,24,radio/TV,557
39,male,3,free,little,little,3249,36,car,780
42,male,2,own,little,little,2577,12,furniture/equipment,508
53,male,2,own,None,None,2424,24,radio/TV,495
39,male,2,own,None,little,2212,20,furniture/equipment,513
23,female,2,own,little,rich,1275,10,furniture/equipment,799
25,female,1,own,little,moderate,4736,24,furniture/equipment,780
41,male,1,own,little,little,662,6,car,719
27,male,2,own,moderate,None,2463,24,car,580
27,female,2,own,little,None,3609,48,business,557
31,male,3,own,little,None,2406,9,furniture/equipment,404
29,female,3,own,little,None,1412,12,business,568
23,female,1,own,moderate,moderate,836,12,car,799
64,male,1,rent,little,little,2384,24,radio/TV,407
45,male,3,own,None,None,3527,12,car,337
36,male,3,free,little,little,5302,18,car,432
21,female,2,own,moderate,None,10144,60,radio/TV,568
24,female,2,own,little,moderate,1237,8,furniture/equipment,719
42,male,1,own,little,None,1455,4,car,348
28,male,1,own,little,little,654,9,car,780
32,male,2,own,little,little,4583,30,furniture/equipment,780
20,male,3,rent,little,little,1107,12,radio/TV,709
39,male,3,rent,little,little,3345,24,furniture/equipment,710
49,female,2,own,little,little,428,6,furniture/equipment,709
35,male,2,own,little,moderate,2576,7,radio/TV,401
22,female,2,own,little,moderate,5951,48,radio/TV,719
28,female,2,rent,moderate,moderate,2631,15,car,710
36,female,1,own,rich,None,1572,21,business,580
28,female,2,own,moderate,moderate,2278,18,car,800
37,male,2,own,little,rich,1225,10,domestic appliances,820
55,female,0,free,little,little,1190,18,repairs,404
26,male,1,own,moderate,None,4272,30,business,580
50,male,2,free,little,moderate,6224,48,education,719
32,male,2,own,little,None,1530,18,car,568
48,male,1,own,little,moderate,1743,24,radio/TV,799
30,male,3,own,moderate,little,2249,18,car,820
47,male,2,own,little,moderate,2353,21,car,799
46,male,1,rent,None,None,730,7,radio/TV,486
29,male,2,own,little,moderate,1103,12,radio/TV,800
24,male,2,own,little,rich,5848,36,radio/TV,819
33,male,2,own,little,moderate,1245,18,radio/TV,800
50,male,3,free,little,little,7476,48,education,719
50,male,2,own,little,None,1574,12,furniture/equipment,568
50,female,2,free,moderate,moderate,2671,36,radio/TV,719
35,male,3,own,little,None,7253,33,car,488
35,male,2,free,None,None,8858,48,car,490
47,male,2,own,little,None,3422,18,furniture/equipment,568
51,male,2,free,little,rich,2892,24,furniture/equipment,799
45,male,3,own,moderate,None,8588,39,car,453
33,female,1,own,None,moderate,3195,9,car,367
54,female,0,own,little,None,672,6,car,568
30,male,2,own,None,moderate,2028,12,car,540
20,female,2,rent,little,little,2039,18,furniture/equipment,689
66,male,3,free,little,little,1526,12,car,447
44,male,2,free,quite rich,None,10127,48,car,494
24,female,1,own,little,little,1228,12,car,709
38,male,3,own,rich,None,5711,36,car,680
25,female,2,own,little,little,3509,18,radio/TV,710
55,male,3,free,little,moderate,9283,42,car,476
27,male,2,own,None,moderate,3711,36,education,540
35,male,2,own,None,moderate,2728,15,radio/TV,540
60,male,2,free,little,None,2032,24,car,391
36,male,2,own,None,None,6742,30,radio/TV,406
65,male,0,own,little,little,3394,42,repairs,405
43,male,1,own,little,little,1344,12,car,719
35,male,2,own,little,little,691,12,car,780
49,male,2,own,little,little,1038,10,car,719
27,male,1,own,little,little,1168,12,car,780
28,male,2,own,moderate,rich,1323,6,car,547
67,male,2,own,None,little,1169,6,radio/TV,481
28,male,2,own,little,moderate,1068,6,radio/TV,800
46,male,2,free,little,little,6331,48,car,709
30,male,2,free,quite rich,little,3349,24,furniture/equipment,820
37,male,2,own,moderate,moderate,3878,24,car,820
27,male,3,free,little,little,1422,9,car,780
36,male,2,own,little,moderate,884,18,car,800
27,male,1,own,little,None,937,24,education,568
35,male,2,rent,little,moderate,1919,9,furniture/equipment,566
23,female,2,own,quite rich,little,4281,33,furniture/equipment,819
26,male,2,own,moderate,None,1311,24,radio/TV,580
26,female,2,own,little,moderate,9960,48,furniture/equipment,682
44,male,2,own,little,little,1478,15,furniture/equipment,719
36,male,2,own,quite rich,rich,2360,15,car,880
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,710
39,male,1,own,little,None,7228,11,car,318
31,female,1,own,little,None,1736,12,furniture/equipment,557
39,male,1,own,moderate,moderate,1037,12,business,820
25,female,2,own,None,None,2394,36,radio/TV,490
29,female,2,rent,rich,moderate,7758,24,car,406
36,male,2,own,little,moderate,3915,27,business,800
61,male,2,own,rich,moderate,1512,15,repairs,421
24,female,2,rent,rich,moderate,433,6,education,719
26,male,2,own,little,moderate,1201,24,car,800
24,male,2,own,moderate,moderate,5595,72,radio/TV,819
25,male,2,rent,quite rich,moderate,3213,18,radio/TV,820
32,female,1,own,moderate,little,1282,24,radio/TV,780
41,male,2,own,little,rich,2116,6,furniture/equipment,386
25,male,2,rent,moderate,moderate,1264,15,car,780
29,male,3,own,little,moderate,11328,24,vacation/others,390
33,male,2,own,little,None,3029,15,car,568
30,female,2,own,little,None,1055,18,car,557
30,female,2,own,quite rich,moderate,8358,48,car,840
30,male,3,rent,little,moderate,2063,6,radio/TV,404
30,male,2,own,little,moderate,639,12,repairs,800
20,male,2,rent,None,rich,3617,24,furniture/equipment,513
53,female,2,own,little,little,795,12,education,709
40,male,3,own,little,moderate,4297,18,furniture/equipment,457
39,male,2,own,little,little,2522,30,radio/TV,780
38,male,2,own,little,None,5954,30,radio/TV,568
24,female,2,own,little,None,2788,15,furniture/equipment,556
24,female,2,free,little,moderate,5743,24,education,452
42,male,2,own,little,None,3331,12,furniture/equipment,385
25,male,2,own,None,moderate,1484,12,radio/TV,540
63,male,3,free,None,None,13756,60,car,382
36,male,2,own,little,moderate,2337,36,radio/TV,800
35,male,2,own,moderate,None,2753,9,radio/TV,396
74,male,3,own,little,None,4526,24,business,489
33,male,2,own,moderate,little,2359,24,furniture/equipment,800
43,male,2,free,little,little,1333,24,car,709
27,male,2,own,rich,None,5804,24,car,441
29,female,2,own,little,rich,683,6,radio/TV,800
26,female,3,own,little,None,10974,36,furniture/equipment,396
30,male,3,own,moderate,moderate,1919,30,radio/TV,840
27,male,2,own,little,little,4020,24,furniture/equipment,780
45,male,2,own,little,little,2303,24,car,719
52,female,1,own,moderate,None,362,6,car,568
24,female,1,rent,moderate,None,11590,48,car,401
65,male,2,own,little,little,571,21,car,400
26,male,2,rent,little,rich,2687,15,business,780
42,female,3,free,little,moderate,8318,27,business,396
46,male,3,own,None,None,2476,21,car,499
37,male,2,own,little,moderate,802,15,radio/TV,800
74,male,0,own,little,rich,1299,6,car,493
47,male,1,own,little,little,731,8,car,719
21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,709
34,male,2,own,little,None,2320,18,radio/TV,568
45,male,1,own,little,little,4006,28,car,719
19,female,1,rent,rich,moderate,983,12,furniture/equipment,719
74,male,1,own,little,None,3448,5,business,300
25,female,1,own,little,moderate,1355,24,car,780
24,male,1,own,None,little,3763,21,car,513
45,male,3,own,little,None,6761,6,car,300
40,male,3,own,moderate,None,4623,15,education,372
54,male,2,own,little,little,3051,48,domestic appliances,719
47,male,2,own,little,None,1393,12,education,568
50,male,2,own,None,None,2390,12,car,494
23,female,2,own,moderate,None,3488,24,car,568
23,male,2,rent,little,little,4110,24,furniture/equipment,699
22,male,2,free,little,little,3973,14,car,401
34,male,1,own,moderate,None,1743,6,business,399
21,male,1,own,little,little,1289,12,furniture/equipment,719
49,male,2,free,None,little,2964,24,car,509
40,male,2,own,little,None,1585,24,furniture/equipment,568
25,female,2,rent,None,None,1283,22,car,482
25,female,2,rent,little,moderate,1295,12,car,700
36,male,3,free,None,moderate,12169,48,car,401
37,male,1,own,little,moderate,2118,9,radio/TV,499
64,female,2,own,moderate,None,1409,13,radio/TV,397
29,female,1,rent,quite rich,None,1123,12,furniture/equipment,568
23,male,2,own,little,moderate,882,13,radio/TV,799
26,female,0,own,little,rich,609,12,business,820
32,male,2,rent,quite rich,None,3062,24,furniture/equipment,580
32,female,1,own,moderate,moderate,931,6,car,800
24,male,2,own,quite rich,None,2080,6,car,356
40,male,0,own,little,moderate,3590,18,business,817
57,male,3,free,little,moderate,14318,36,car,355
29,female,2,own,None,little,915,24,car,509
35,male,2,own,None,None,1979,15,radio/TV,495
60,male,3,own,None,moderate,6468,20,car,300
46,male,2,own,rich,None,1149,18,radio/TV,591
