Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,score
34,male,2,own,moderate,moderate,2622,18,business,820
38,male,3,own,None,None,3229,18,car,499
34,female,3,own,little,moderate,2064,24,furniture/equipment,800
27,male,2,own,little,little,1657,12,furniture/equipment,780
23,male,2,own,None,moderate,1444,15,radio/TV,516
50,male,2,own,None,moderate,1537,15,radio/TV,516
31,female,3,own,quite rich,None,2782,21,car,680
26,male,2,own,little,little,4788,48,car,780
24,female,2,rent,little,None,1554,6,radio/TV,393
75,female,3,own,None,little,1374,6,car,392
49,male,1,own,None,rich,1445,18,radio/TV,557
24,male,2,own,little,little,9629,36,car,405
31,male,2,own,moderate,None,5742,36,business,580
27,female,2,rent,None,moderate,1924,18,furniture/equipment,506
43,male,3,own,little,little,2442,27,business,799
24,female,2,own,None,None,874,15,domestic appliances,490
41,male,2,own,None,None,3160,21,radio/TV,495
26,male,2,own,little,None,1934,12,radio/TV,568
25,male,1,own,little,little,1138,9,radio/TV,780
38,female,2,own,None,None,1240,12,radio/TV,490
27,female,2,own,little,moderate,1295,18,furniture/equipment,780
29,male,1,own,None,moderate,2333,24,furniture/equipment,540
28,female,2,rent,little,little,1403,15,car,690
30,male,3,own,little,little,3959,36,furniture/equipment,800
27,male,1,own,None,None,1309,10,car,495
31,male,2,own,None,little,6350,30,furniture/equipment,486
26,male,2,own,little,little,1345,18,radio/TV,780
33,male,2,own,little,None,5150,24,furniture/equipment,498
30,female,2,own,rich,None,960,15,furniture/equipment,580
65,female,0,own,little,None,1098,18,radio/TV,386
26,female,2,own,None,moderate,1715,30,radio/TV,513
44,male,3,rent,little,little,3384,6,furniture/equipment,340
23,male,0,own,None,moderate,14555,6,car,300
23,female,2,rent,little,None,2146,10,furniture/equipment,467
42,male,2,own,None,moderate,2427,18,business,516
59,male,2,own,little,little,1364,9,radio/TV,474
37,male,2,rent,little,little,3676,6,car,374
33,male,2,rent,little,rich,2319,21,education,780
38,male,2,own,little,None,1924,10,radio/TV,568
26,female,3,rent,None,None,5433,24,car,404
24,female,1,rent,None,None,4811,30,car,481
28,female,3,rent,little,little,2606,21,radio/TV,700
31,male,1,own,little,None,1546,10,car,568
37,female,2,own,little,moderate,3612,18,furniture/equipment,780
23,female,1,rent,little,little,6229,36,furniture/equipment,689
27,male,2,own,moderate,moderate,4576,45,car,820
22,female,2,own,moderate,little,741,12,domestic appliances,719
64,male,1,own,None,None,3832,9,education,300
42,male,2,own,little,little,3446,36,furniture/equipment,719
24,male,1,own,little,little,1747,24,furniture/equipment,719
51,female,2,own,moderate,None,682,12,car,568
68,male,2,rent,None,None,6761,18,car,300
36,male,3,own,quite rich,moderate,2366,12,car,880
20,female,2,rent,quite rich,None,2221,15,furniture/equipment,568
23,male,1,rent,quite rich,None,660,6,repairs,579
22,male,2,own,little,None,1478,9,radio/TV,568
48,female,1,free,moderate,rich,1240,10,car,799
43,male,2,own,None,None,4042,24,car,495
29,female,2,own,little,little,3959,15,car,465
29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,481
42,male,1,own,little,None,1503,4,radio/TV,342
26,female,2,rent,little,None,1388,9,furniture/equipment,515
26,male,2,own,little,rich,1925,24,furniture/equipment,820
22,female,1,own,little,little,806,15,business,709
24,male,1,rent,little,little,1546,24,radio/TV,699
26,male,2,own,little,little,8229,36,car,505
35,male,2,own,moderate,None,4151,24,furniture/equipment,580
22,male,2,free,little,little,3149,24,furniture/equipment,709
33,male,2,own,little,moderate,6403,24,radio/TV,464
26,male,2,own,little,rich,4210,36,radio/TV,820
32,female,2,own,little,None,4611,6,furniture/equipment,300
32,female,3,own,little,moderate,18424,48,vacation/others,399
55,male,2,own,little,little,6872,24,furniture/equipment,392
29,male,2,own,little,moderate,2629,20,vacation/others,800
25,male,2,own,little,little,2136,9,furniture/equipment,495
33,male,2,own,little,None,6070,18,radio/TV,389
26,female,2,rent,None,little,2812,24,car,503
20,male,2,own,None,little,2996,24,furniture/equipment,513
30,male,2,own,little,None,1224,9,car,568
29,female,1,rent,little,little,1659,24,radio/TV,690
27,male,2,own,None,rich,1347,10,radio/TV,557
34,male,3,own,little,moderate,1860,12,car,820
34,male,2,own,little,None,1950,18,business,568
30,male,3,own,None,little,14179,39,furniture/equipment,365
32,male,3,own,little,little,1880,18,radio/TV,800
22,female,1,rent,little,None,1258,12,furniture/equipment,515
30,female,2,own,moderate,None,1864,18,education,568
23,female,2,own,little,little,1498,12,radio/TV,709
26,male,3,own,quite rich,None,3235,24,radio/TV,700
40,male,1,own,little,moderate,1155,12,radio/TV,799
60,male,2,own,rich,None,1940,24,car,391
22,female,2,own,little,moderate,1670,9,radio/TV,719
26,male,2,rent,moderate,None,3577,9,car,375
34,female,2,own,little,None,1493,12,radio/TV,557
75,male,3,free,little,little,6615,24,car,395
44,male,2,own,moderate,moderate,1804,12,car,819
48,male,2,own,None,None,5190,27,repairs,495
23,female,1,own,little,moderate,3573,12,radio/TV,398
61,male,3,free,little,moderate,1953,36,business,403
25,female,2,rent,little,little,1882,18,radio/TV,690
24,male,2,free,little,little,4605,48,car,709
30,female,2,own,little,moderate,918,9,furniture/equipment,780
23,male,2,rent,little,moderate,1534,12,radio/TV,709
28,male,2,own,little,None,2284,24,radio/TV,568
24,male,2,own,little,None,1800,18,radio/TV,568
32,male,2,own,None,None,7238,48,radio/TV,495
47,male,2,free,moderate,moderate,12612,36,education,387
25,male,2,own,None,little,8072,30,business,395
31,male,1,own,little,little,3108,30,furniture/equipment,780
46,male,2,free,little,little,3931,48,car,709
49,female,2,own,little,moderate,1092,12,radio/TV,719
24,female,2,rent,little,little,4308,48,business,689
21,male,2,own,little,None,15653,60,radio/TV,393
23,female,3,rent,little,moderate,11560,24,car,358
38,female,2,own,little,None,1533,24,radio/TV,557
36,male,2,own,little,None,1542,12,business,568
31,male,2,own,quite rich,None,3430,24,radio/TV,680
26,female,2,own,quite rich,None,1386,12,car,660
38,male,1,own,little,moderate,1308,15,repairs,800
24,male,1,own,little,little,2214,12,radio/TV,719
63,male,2,own,little,little,6836,60,business,433
21,female,2,own,None,None,886,12,radio/TV,490
25,female,2,own,None,moderate,2991,30,radio/TV,513
31,male,3,own,None,None,8947,36,car,396
36,male,2,own,None,moderate,2181,30,car,540
44,male,2,own,None,None,3485,20,car,495
68,male,0,free,little,moderate,1175,16,car,405
33,male,2,own,little,moderate,1414,8,radio/TV,800
30,male,3,own,quite rich,None,2333,30,radio/TV,700
62,female,2,free,little,None,3757,24,car,407
27,male,2,own,rich,None,8613,27,car,393
28,male,2,own,None,moderate,1887,18,business,540
34,male,1,own,little,little,11998,30,repairs,397
50,male,2,rent,quite rich,None,1236,6,car,513
21,female,2,rent,little,None,2570,27,car,515
35,male,3,own,little,moderate,1050,6,furniture/equipment,820
34,female,2,own,little,None,4454,36,radio/TV,557
37,female,2,own,little,None,3380,4,car,300
28,female,2,own,little,None,1817,18,furniture/equipment,557
48,male,2,own,little,None,2134,9,car,403
63,male,2,own,little,little,2957,24,car,443
46,male,2,own,little,None,2611,24,radio/TV,568
47,male,2,free,little,None,1984,18,furniture/equipment,557
54,male,2,own,rich,moderate,1318,12,car,839
44,female,3,free,little,moderate,12579,24,car,349
43,male,2,rent,little,little,2625,16,car,699
45,male,3,own,little,little,8978,14,car,323
30,male,2,rent,little,None,1740,6,radio/TV,398
31,male,1,own,little,moderate,1521,10,furniture/equipment,800
34,male,1,own,little,rich,2864,18,furniture/equipment,820
33,female,1,rent,None,None,2186,15,furniture/equipment,482
54,male,3,own,rich,None,4591,24,business,679
48,female,1,rent,little,moderate,1795,18,radio/TV,699
27,male,2,own,little,None,8648,24,business,383
20,female,1,rent,little,moderate,2718,24,car,699
43,male,1,own,little,None,7393,24,car,372
40,male,3,own,None,little,1358,24,vacation/others,540
23,male,2,free,little,little,1845,45,radio/TV,709
29,female,2,own,little,None,518,6,radio/TV,557
35,female,2,own,rich,None,1592,12,furniture/equipment,580
37,male,3,own,quite rich,None,12749,48,radio/TV,405
46,male,2,free,quite rich,None,727,10,education,591
42,male,3,own,little,None,10366,60,car,579
28,male,2,own,little,None,9572,36,business,404
35,male,2,rent,moderate,None,1204,6,car,557
46,male,2,own,little,rich,1343,6,car,490
42,female,2,own,None,moderate,5084,24,radio/TV,459
40,male,1,own,little,little,701,12,radio/TV,719
49,male,2,own,little,moderate,8386,30,furniture/equipment,402
31,male,2,rent,little,little,3161,24,business,700
66,male,0,free,quite rich,rich,1480,12,car,449
67,female,2,own,little,moderate,3872,18,repairs,494
63,male,2,own,None,None,7596,30,car,350
45,male,2,free,little,little,7882,42,furniture/equipment,709
36,male,2,own,rich,rich,1275,24,business,860
64,female,2,own,little,moderate,753,6,radio/TV,445
25,female,2,rent,little,little,1433,15,furniture/equipment,690
32,male,2,own,quite rich,None,2978,6,furniture/equipment,354
47,female,2,free,moderate,rich,1377,24,radio/TV,799
27,female,2,own,little,little,2389,18,radio/TV,710
47,male,1,own,little,moderate,958,12,car,799
30,male,1,own,little,None,2028,24,furniture/equipment,568
20,female,2,own,rich,moderate,1577,11,furniture/equipment,819
41,male,1,own,quite rich,None,2580,21,business,679
58,female,1,free,little,little,6143,48,car,446
20,male,2,own,little,None,1313,9,furniture/equipment,568
52,male,3,own,None,moderate,6468,12,radio/TV,300
40,male,0,free,None,moderate,5381,48,vacation/others,516
37,female,1,own,little,little,1274,12,car,710
38,male,2,own,None,None,2751,48,car,495
37,male,1,own,None,None,3565,12,education,374
20,female,2,rent,None,None,4675,12,car,300
37,male,2,own,little,rich,2100,18,radio/TV,820
46,female,1,own,little,rich,2251,12,furniture/equipment,799
36,male,3,rent,moderate,moderate,6967,24,business,437
27,male,2,own,little,little,1053,15,radio/TV,780
38,female,0,own,little,None,926,12,car,568
23,male,1,own,quite rich,moderate,2520,27,radio/TV,859
29,female,2,own,rich,little,3357,21,radio/TV,800
23,female,1,own,little,moderate,2101,13,radio/TV,719
23,female,2,own,None,None,996,12,repairs,490
36,male,3,own,little,None,1278,24,radio/TV,580
23,male,2,own,None,little,900,12,car,513
49,male,2,own,moderate,rich,1126,9,radio/TV,839
31,female,2,own,little,little,1957,6,radio/TV,405
25,female,2,own,None,moderate,2762,12,furniture/equipment,424
20,female,2,rent,rich,None,3186,15,car,481
27,male,2,own,little,None,1101,12,car,568
33,female,1,own,None,None,797,12,radio/TV,490
39,female,2,own,little,little,860,6,car,710
24,female,2,rent,little,little,2124,18,furniture/equipment,689
28,male,2,own,little,moderate,3060,48,radio/TV,800
35,female,2,own,little,little,2439,24,radio/TV,710
25,female,2,own,little,None,5771,30,radio/TV,557
36,male,1,own,little,moderate,4241,24,business,800
61,female,2,own,None,None,2012,12,education,399
34,female,2,own,little,little,1842,36,car,710
26,female,2,rent,little,little,3114,18,furniture/equipment,690
27,female,0,own,little,little,750,18,education,780
32,male,2,own,little,moderate,2273,36,education,800
31,male,2,free,little,None,6110,48,education,557
33,male,2,own,little,None,1478,15,radio/TV,568
39,male,3,own,little,None,1884,12,car,580
52,male,2,own,little,None,3077,12,radio/TV,395
41,male,3,own,None,None,6313,24,car,364
48,male,2,own,moderate,little,1288,9,repairs,799
40,male,1,own,None,little,1647,21,car,513
39,female,2,own,little,moderate,1188,21,business,780
33,female,2,own,little,None,2831,30,radio/TV,557
25,male,1,own,little,moderate,866,18,radio/TV,800
36,male,2,own,moderate,None,2872,24,radio/TV,580
28,female,2,own,little,None,1382,6,radio/TV,460
24,female,2,own,None,moderate,8487,48,car,513
37,male,2,own,None,None,7409,36,business,486
40,male,2,rent,None,None,1386,15,radio/TV,486
44,male,2,free,little,None,5507,24,repairs,406
23,female,1,rent,little,None,601,4,furniture/equipment,515
39,male,2,free,little,little,10297,48,car,558
31,female,2,own,little,little,6758,48,radio/TV,710
30,male,2,own,moderate,moderate,5866,18,car,406
29,female,2,own,None,None,5003,21,car,400
38,male,3,own,None,None,2859,12,car,400
26,male,3,own,little,None,4463,36,radio/TV,580
31,male,2,own,little,None,2775,18,car,568
31,male,2,rent,little,little,2302,36,radio/TV,700
23,female,2,own,moderate,None,3812,15,car,396
26,male,2,own,little,None,1076,12,business,568
31,male,2,own,None,None,929,24,furniture/equipment,495
31,male,2,own,little,None,1360,15,radio/TV,568
29,female,2,own,little,little,1893,12,car,710
41,male,1,own,little,moderate,888,12,car,799
23,male,2,rent,rich,None,3368,15,car,429
37,male,2,own,None,None,10222,48,radio/TV,454
30,male,3,free,None,None,12680,21,car,300
52,female,3,free,None,None,2133,12,car,490
23,female,1,rent,little,little,3234,24,furniture/equipment,689
27,female,2,own,little,little,343,6,domestic appliances,710
31,female,2,own,moderate,None,1532,15,education,568
27,female,2,own,little,None,1449,9,business,557
52,male,2,own,moderate,None,2223,24,radio/TV,579
25,female,2,rent,little,None,3972,24,furniture/equipment,515
46,male,2,rent,little,moderate,1223,12,car,709
24,male,1,rent,little,little,3021,24,furniture/equipment,699
24,male,2,own,little,moderate,458,9,radio/TV,799
47,male,1,own,little,little,1217,18,domestic appliances,719
26,female,2,own,little,None,763,12,furniture/equipment,557
35,male,3,own,little,None,3780,18,furniture/equipment,510
47,male,2,own,quite rich,None,1213,15,radio/TV,679
32,male,2,own,None,None,2978,24,business,495
36,male,2,rent,little,little,3905,11,car,402
57,female,1,own,quite rich,rich,1258,24,radio/TV,403
41,female,1,own,rich,None,250,6,car,580
37,female,2,own,little,None,2022,24,car,557
37,male,2,free,little,None,1819,36,education,557
25,male,2,own,little,None,1262,12,radio/TV,568
53,male,3,free,little,little,7865,12,furniture/equipment,320
32,male,3,own,quite rich,None,629,18,radio/TV,700
34,male,1,own,None,None,1898,6,radio/TV,366
22,female,2,own,little,None,1808,18,furniture/equipment,557
40,male,1,rent,little,little,684,12,education,699
31,male,2,own,rich,little,3651,12,car,423
55,female,3,own,None,rich,1424,12,furniture/equipment,390
25,male,2,own,little,moderate,4933,39,radio/TV,800
29,male,2,own,moderate,moderate,1437,9,car,820
44,male,1,own,little,moderate,6204,18,repairs,388
35,male,3,rent,little,moderate,6948,36,car,780
41,male,2,rent,little,None,1503,12,car,545
23,male,2,own,little,moderate,15672,48,business,392
28,male,2,own,little,None,776,12,radio/TV,568
29,male,2,rent,little,None,2108,6,radio/TV,385
29,male,3,rent,moderate,None,1901,24,radio/TV,568
26,female,1,rent,moderate,moderate,4280,30,business,710
24,female,2,own,little,None,932,6,radio/TV,557
51,male,1,free,quite rich,None,2507,9,car,385
33,female,2,own,little,little,1131,18,furniture/equipment,710
57,male,1,own,little,little,709,12,radio/TV,403
37,male,3,own,None,rich,3399,12,radio/TV,392
29,male,2,rent,None,None,7166,42,radio/TV,486
33,male,2,own,rich,None,1543,6,furniture/equipment,406
56,male,2,own,little,None,618,12,radio/TV,384
56,female,2,own,little,None,1538,6,education,383
36,male,2,own,quite rich,None,909,36,car,680
49,male,2,rent,None,None,5801,12,furniture/equipment,300
47,male,2,free,little,None,5103,24,radio/TV,480
47,male,2,own,None,None,3578,48,radio/TV,495
23,female,2,own,little,None,1943,18,repairs,557
66,female,1,own,quite rich,moderate,790,9,radio/TV,406
44,female,2,own,None,None,5943,24,radio/TV,376
36,male,3,own,little,None,3275,21,car,580
27,male,2,own,little,moderate,3652,21,business,800
30,male,2,rent,little,moderate,2002,12,car,710
30,male,2,own,little,little,1602,21,car,780
61,male,1,rent,moderate,moderate,2767,21,business,452
40,male,2,own,None,None,3077,30,radio/TV,495
24,female,2,own,little,moderate,2150,30,car,719
66,male,3,own,little,rich,1908,30,business,404
50,male,2,own,little,None,1559,24,business,568
32,male,2,free,little,None,3863,24,business,557
41,female,1,own,little,moderate,5954,42,business,719
40,male,2,rent,None,None,7824,28,car,348
30,female,3,own,None,little,7174,42,radio/TV,513
67,female,3,own,little,moderate,1199,9,education,455
36,male,3,own,None,None,1238,6,education,488
21,male,1,own,little,little,6568,24,business,404
33,male,3,rent,little,None,4844,48,business,557
41,male,2,own,None,moderate,3979,48,radio/TV,516
22,female,2,own,little,moderate,1567,12,radio/TV,719
49,male,1,own,little,None,640,12,car,568
36,male,2,own,quite rich,None,1262,15,domestic appliances,680
29,female,2,own,little,None,2171,12,radio/TV,557
40,male,1,own,little,little,1361,6,car,481
49,male,1,own,None,rich,3656,30,radio/TV,557
25,female,1,own,moderate,moderate,2631,15,repairs,800
28,female,1,own,little,rich,745,9,radio/TV,800
40,male,1,rent,quite rich,None,1597,10,car,579
41,male,2,own,little,little,2712,36,furniture/equipment,719
31,male,3,free,moderate,moderate,7582,48,vacation/others,820
74,female,3,free,little,moderate,5129,9,car,300
27,male,2,own,rich,moderate,10961,48,radio/TV,509
26,male,2,rent,None,None,2445,12,car,486
30,female,2,own,None,little,7721,24,furniture/equipment,378
31,male,1,own,moderate,moderate,9857,36,business,457
33,male,1,rent,little,moderate,2384,36,repairs,710
41,female,1,rent,None,None,1244,9,education,481
35,male,1,rent,moderate,None,1418,10,car,557
22,male,2,own,little,moderate,3832,30,furniture/equipment,799
58,male,2,own,None,None,1867,30,radio/TV,353
48,female,1,own,None,moderate,4351,24,furniture/equipment,513
27,male,3,own,little,little,3416,27,radio/TV,800
60,male,1,own,little,little,1199,24,car,402
31,male,2,own,moderate,None,3621,24,radio/TV,580
30,male,3,own,None,None,11054,36,car,370
32,male,1,free,little,little,1442,18,car,710
32,male,1,own,rich,None,4526,27,furniture/equipment,660
23,female,2,rent,little,None,1236,9,domestic appliances,515
36,male,2,own,little,little,1372,12,car,780
34,female,3,own,little,moderate,1501,9,education,800
35,female,2,own,little,None,1291,12,radio/TV,557
22,male,2,own,little,little,2462,18,furniture/equipment,719
34,female,3,rent,little,moderate,3017,12,furniture/equipment,479
23,female,2,rent,None,little,1200,12,education,503
57,female,3,rent,rich,little,1231,24,radio/TV,402
28,female,2,rent,rich,None,2603,24,car,557
23,female,1,rent,moderate,moderate,841,12,business,709
52,male,2,own,quite rich,None,936,9,education,679
29,male,2,free,little,little,2149,12,radio/TV,710
29,male,2,own,little,little,6887,36,education,780
31,male,2,own,None,None,3378,18,car,495
27,female,2,own,little,moderate,2930,12,radio/TV,488
37,female,2,rent,little,little,7685,48,business,690
63,male,2,own,little,little,2924,24,car,441
29,female,2,own,little,moderate,959,9,furniture/equipment,780
36,male,2,free,None,moderate,2760,24,car,513
42,male,2,own,little,little,4153,18,furniture/equipment,473
51,male,2,free,None,little,7511,18,car,300
23,female,0,rent,quite rich,little,1352,6,car,486
54,male,2,own,None,None,2255,24,car,495
22,male,2,rent,moderate,moderate,3092,24,radio/TV,719
28,male,2,own,rich,None,2142,11,business,660
49,male,1,own,little,moderate,3124,12,car,407
24,male,2,own,None,moderate,2030,9,furniture/equipment,403
27,male,2,own,quite rich,moderate,2326,15,business,860
31,male,3,rent,little,None,1963,12,radio/TV,557
33,female,3,own,little,rich,1474,12,furniture/equipment,820
64,female,2,own,little,None,1364,10,car,403
44,female,3,free,little,little,6419,24,car,405
58,female,1,own,little,little,385,12,radio/TV,400
30,female,3,own,little,moderate,5096,48,furniture/equipment,800
37,male,1,own,None,rich,1344,24,car,557
27,male,1,own,little,None,802,14,car,568
37,male,2,free,None,moderate,12389,36,car,371
27,male,2,own,little,little,5998,40,education,780
41,male,1,own,little,None,719,12,education,568
32,male,2,own,little,None,4594,18,radio/TV,406
26,male,2,own,little,little,759,12,car,780
39,male,1,own,little,little,3398,8,car,395
40,male,3,own,little,little,3857,30,car,799
33,female,2,own,little,moderate,3244,18,furniture/equipment,780
23,female,1,own,little,little,976,18,car,709
58,male,2,rent,little,moderate,15945,54,business,389
61,male,2,free,None,moderate,1239,18,education,373
48,male,2,free,None,None,9277,24,car,300
38,male,1,own,little,little,708,12,furniture/equipment,780
28,female,2,rent,quite rich,moderate,4113,24,car,800
36,male,3,free,little,little,1872,6,furniture/equipment,407
37,male,2,own,little,None,3535,36,car,568
38,male,2,own,None,moderate,368,6,radio/TV,540
37,male,2,own,little,little,3620,36,furniture/equipment,780
21,female,2,rent,None,None,1126,18,radio/TV,481
35,male,1,own,little,None,4679,24,car,568
30,male,2,own,little,None,4657,15,car,394
28,male,1,own,little,None,2993,21,car,568
27,male,2,own,None,None,1221,6,furniture/equipment,495
42,male,2,free,little,moderate,6288,60,education,719
46,male,2,own,rich,None,1582,18,radio/TV,591
34,female,1,free,little,moderate,1837,24,education,710
43,female,1,own,rich,None,1516,24,radio/TV,579
42,male,1,own,little,None,1544,4,radio/TV,338
22,male,2,own,little,moderate,2039,24,radio/TV,799
30,male,2,free,moderate,moderate,2862,36,car,800
28,male,2,own,rich,little,2659,18,furniture/equipment,820
32,female,2,rent,None,little,1285,24,car,503
39,female,1,own,None,moderate,932,6,education,513
27,male,1,own,little,moderate,1082,9,radio/TV,800
28,male,2,own,little,None,1249,24,car,568
35,male,0,own,None,moderate,1549,9,car,557
32,male,2,own,moderate,little,2325,24,car,800
63,male,2,own,None,None,1520,15,furniture/equipment,370
57,female,1,own,moderate,None,1154,11,radio/TV,396
39,female,1,own,rich,little,666,6,car,800
25,female,1,own,little,rich,2327,15,radio/TV,800
27,male,2,own,little,None,2613,36,repairs,568
39,male,3,own,little,None,6458,18,car,384
44,female,1,own,little,moderate,760,8,radio/TV,719
28,male,2,own,little,little,4169,24,furniture/equipment,780
24,male,2,rent,moderate,little,6187,30,car,590
32,male,3,free,little,None,1505,18,radio/TV,568
25,male,2,own,little,None,1258,24,business,568
40,female,2,own,rich,moderate,1322,11,car,819
24,female,3,own,moderate,moderate,7408,60,car,819
26,female,1,own,little,moderate,1113,18,radio/TV,780
22,male,2,own,quite rich,little,2828,24,furniture/equipment,839
65,male,2,own,None,None,930,12,radio/TV,360
34,male,3,free,little,little,2910,24,car,780
44,male,2,rent,quite rich,little,2647,6,radio/TV,367
26,female,2,own,little,None,1453,18,radio/TV,557
68,male,3,own,little,little,14896,6,car,300
35,male,2,own,None,moderate,3976,21,furniture/equipment,540
36,male,2,own,quite rich,None,4042,42,furniture/equipment,680
24,female,0,rent,None,moderate,7472,12,car,300
22,female,2,rent,little,little,1858,12,furniture/equipment,689
22,female,2,rent,moderate,None,2301,9,furniture/equipment,395
34,male,3,own,moderate,moderate,6850,15,car,391
29,male,1,own,None,rich,1494,4,car,362
53,male,2,free,little,little,7119,48,furniture/equipment,709
45,female,1,own,None,None,3835,36,radio/TV,490
28,female,2,own,moderate,None,2073,12,radio/TV,568
33,female,2,rent,little,little,3966,18,car,511
28,male,2,rent,little,moderate,3617,12,furniture/equipment,423
32,male,2,own,rich,moderate,2745,21,furniture/equipment,840
27,male,1,own,None,moderate,7418,60,radio/TV,540
34,female,2,own,rich,None,1525,24,car,580
65,male,2,free,little,little,2600,18,radio/TV,465
26,male,2,own,little,moderate,1424,12,domestic appliances,800
46,male,2,own,little,little,2348,36,furniture/equipment,719
35,female,1,own,quite rich,None,3447,12,education,400
39,male,2,own,quite rich,None,2299,36,radio/TV,680
27,female,2,rent,None,little,2132,10,furniture/equipment,471
63,male,1,own,little,None,1655,12,radio/TV,403
55,male,2,own,rich,None,1413,12,car,399
43,male,3,own,little,little,15857,36,vacation/others,367
32,female,2,own,little,moderate,2528,27,business,780
29,female,0,own,None,moderate,3990,36,domestic appliances,540
25,female,2,own,little,None,7855,36,car,487
25,male,2,own,little,little,975,15,furniture/equipment,780
33,male,2,own,little,None,2051,18,radio/TV,568
44,male,2,own,quite rich,None,1163,12,car,679
40,male,1,own,little,little,3939,11,car,385
52,male,1,own,little,little,2315,10,radio/TV,471
38,male,2,free,little,rich,947,24,car,800
38,male,1,own,little,little,2171,12,car,780
23,male,1,own,little,moderate,1048,10,radio/TV,799
36,male,2,rent,little,little,7297,60,business,700
29,male,2,own,None,None,3556,15,car,401
35,male,2,own,little,None,5842,36,car,568
44,female,1,rent,little,rich,1881,12,radio/TV,709
31,male,2,own,little,little,3104,18,business,780
25,female,2,rent,None,little,1371,24,car,503
35,male,1,own,moderate,little,4380,18,car,490
36,male,2,free,None,None,846,7,radio/TV,490
45,male,1,own,little,little,339,12,education,719
20,female,2,rent,little,little,1282,12,furniture/equipment,689
29,female,3,own,little,None,2679,24,car,568
46,male,3,own,None,None,6842,24,car,344
42,male,2,free,moderate,None,1346,6,radio/TV,430
21,male,2,rent,little,None,1766,6,furniture/equipment,378
31,male,2,own,little,rich,4473,36,radio/TV,820
44,male,2,own,little,little,1553,18,furniture/equipment,719
34,male,2,own,little,None,2759,12,furniture/equipment,463
24,male,2,rent,little,moderate,2323,36,radio/TV,709
